numero,clave,nombre,latitud,longitud,altitud,estado,municipio,id_cuenca_de_disponibilidad,cuenca_de_disponibilidad,num_region_hidrologica,region_hidrologica,fn_id_cuenca_de_disponibilidad,fn_num_region_hidrologica,estado_etq
18,C01075,Montoro,21.757222,-102.302222,1871,Aguascalientes,Aguascalientes,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
19,OBSAG,"Observatorio de Aguascalientes, Ags.",21.850833,-102.290556,1874,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
20,C01063,Peñuelas,21.725,-102.275,1870,Aguascalientes,Aguascalientes,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
21,C01079,Peñuelas,21.725833,-102.272222,1900,Aguascalientes,Aguascalientes,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
22,C01005,Presa El Niágara,21.780556,-102.371667,1844,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
23,C01022,San Bartolo,21.748056,-102.170278,1998,Aguascalientes,Aguascalientes,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
24,BRTAG,"San Bartolo, Ags.",21.738611,-102.184167,1965,Aguascalientes,Aguascalientes,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
25,C01024,San Isidro,21.778611,-102.103889,2004,Aguascalientes,Aguascalientes,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
26,C01036,Santa Rosa,21.816667,-102.3,1860,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
27,C01029,Asientos,22.239722,-102.088889,2163,Aguascalientes,Asientos,755,Presa San Pablo y otras,37,El Salado,755.0,37.0,Aguascalientes
28,C01006,El Tule,22.081667,-102.091389,1960,Aguascalientes,Asientos,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
29,C01045,El Tule,22.083056,-102.091111,1982,Aguascalientes,Asientos,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
30,C01032,Las Fraguas,22.039167,-101.8925,2086,Aguascalientes,Asientos,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
31,C01081,Rancho Seco,22.088333,-101.967222,2067,Aguascalientes,Asientos,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
32,C01084,San Gil,22.208333,-102.022222,2032,Aguascalientes,Asientos,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
33,C01085,Tepetatillo,22.091111,-102.181389,2040,Aguascalientes,Asientos,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
34,C01028,Villa Juárez,22.100833,-102.067778,1999,Aguascalientes,Asientos,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
35,VJZAG,"Villa Juárez, Ags.",22.097778,-102.0675,1970,Aguascalientes,Asientos,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
36,C01047,Agua Zarca,21.974167,-102.584444,2417,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
37,C01003,Calvillo,21.883333,-102.718889,1640,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
38,C01023,Calvillo,21.836667,-102.711667,1685,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
39,C01078,El Ocote,21.890278,-102.8325,2329,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
40,CDRAG,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
41,C01009,La Labor,21.962222,-102.694722,1740,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
42,C01046,La Labor,21.964444,-102.697222,1785,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
43,C01091,Los Alisos,21.742222,-102.716944,2216,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
44,C01011,Malpaso,21.86,-102.663889,1730,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
45,MALAG,"Malpaso, Ags.",21.858056,-102.653333,0,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
46,MNLAG,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
47,C01020,Presa La Codorniz,21.996667,-102.674167,1850,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
48,C01012,Presa Media Luna,21.794444,-102.801667,1589,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
49,C01088,Cosió,22.362778,-102.296944,2023,Aguascalientes,Cosío,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
50,CSOAG,"Cosío, Ags.",22.362778,-102.296667,1885,Aguascalientes,Cosío,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
51,C01031,El Novillo,22.018889,-101.999167,2043,Aguascalientes,El Llano,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
52,NVLAG,"El Novillo, Ags.",22.020556,-102.001944,2010,Aguascalientes,El Llano,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
53,C01099,Jesús Terán (El Muerto),21.975833,-102.061944,2044,Aguascalientes,El Llano,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
54,C01073,La Tinaja,21.809444,-102.129722,2027,Aguascalientes,El Llano,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
55,TNJAG,"La Tinaja 2, Ags.",21.807778,-102.127778,2010,Aguascalientes,El Llano,194,Presa Ajojucar,12,Lerma Santiago,194.0,12.0,Aguascalientes
56,C01101,Las Presas,21.909167,-102.086944,2045,Aguascalientes,El Llano,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
57,C01033,Los Conos,21.897778,-101.9925,2026,Aguascalientes,El Llano,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
58,CNSAG,"Los Conos, Ags.",21.897778,-101.992222,2015,Aguascalientes,El Llano,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
59,C01015,Palo Alto,21.916389,-101.969444,2038,Aguascalientes,El Llano,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
60,PALAG,"Palo Alto, Ags.",21.916667,-101.966667,2015,Aguascalientes,El Llano,196,Río Encarnación,12,Lerma Santiago,196.0,12.0,Aguascalientes
61,C01035,San Francisco de Los Viveros,21.911944,-102.13,2020,Aguascalientes,El Llano,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
62,C01034,Sandovales,21.885,-102.109167,2007,Aguascalientes,El Llano,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
63,SNVAG,"Sandovales, Ags.",21.885,-102.108889,1860,Aguascalientes,El Llano,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
64,C01104,Abelardo L. Rodríguez,21.914444,-102.428611,1971,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
65,ABRAG,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
66,C01007,Jesús María,21.962222,-102.344722,1880,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
67,C01090,Jesús María,21.962222,-102.350556,1881,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
68,C01098,La Posta U.A.A.,21.9725,-102.3625,1941,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
69,C01106,La Primavera,21.958611,-102.475833,2059,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
70,C01105,Los Cuartos,21.986389,-102.35,1901,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
71,C01095,Milpillas de Arriba,21.935,-102.550833,2164,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
72,C01080,Presa Canutillo,21.8375,-102.522222,1950,Aguascalientes,Jesús María,204,Río Juchipila 1,12,Lerma Santiago,204.0,12.0,Aguascalientes
73,C01027,Venadero,21.877222,-102.463333,2026,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
74,C01057,Venadero,21.8725,-102.466667,2000,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
75,VNDAG,"Venadero, Ags.",215.383333,-10.387222,1995,Aguascalientes,Jesús María,-,-,-,-,,,Aguascalientes
76,JC2AG,"km 1+400 Jocoque hidrométrica, Ags.",22.121111,-102.354444,1970,Aguascalientes,Pabellón de Arteaga,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
77,C01014,Pabellón Campo Experimental,22.166944,-102.292778,1934,Aguascalientes,Pabellón de Arteaga,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
78,C01041,Pabellón de Arteaga,22.15,-102.283333,1900,Aguascalientes,Pabellón de Arteaga,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
79,C01102,Pabellón de Arteaga,22.147222,-102.279167,1930,Aguascalientes,Pabellón de Arteaga,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
80,PBLAG,"Pabellón, Ags.",22.147222,-102.279167,1909,Aguascalientes,Pabellón de Arteaga,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
81,PTRAG,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
82,C01019,Presa Jocoque,22.128056,-102.359444,2006,Aguascalientes,Rincón de Romos,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
83,C01082,Rincón de Romos,22.231111,-102.315278,1965,Aguascalientes,Rincón de Romos,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
84,C01025,San Francisco de Los Romo,22.077222,-102.271111,1880,Aguascalientes,San Francisco de los Romo,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
85,C01083,San Francisco de Los Romo,22.078889,-102.273056,1909,Aguascalientes,San Francisco de los Romo,191,Presa El Niágara,12,Lerma Santiago,191.0,12.0,Aguascalientes
86,C01103,Alamitos Campamento,22.1775,-102.586111,2603,Aguascalientes,San José de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
87,ALMAG,"Alamitos, Ags.",22.177222,-102.585833,2550,Aguascalientes,San José de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
88,PE2AG,"Calles hidrométrica, Ags.",22.138611,-102.415,2020,Aguascalientes,San José de Gracia,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
89,ANVAG,"Cincuenta Aniversario, Ags.",22.188611,-102.464167,2050,Aguascalientes,San José de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
90,JCQAG,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
91,C01010,La Tinaja,22.164444,-102.554167,2526,Aguascalientes,San José de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
92,PECAG,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
93,C01089,Presa 50 Aniversario,22.188611,-102.464167,2104,Aguascalientes,San José de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
94,C01018,Presa Plutarco Elías Calles,22.141389,-102.415278,2053,Aguascalientes,San José de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
95,C01017,Presa Potrerillos,22.232778,-102.443611,2172,Aguascalientes,San José de Gracia,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
96,C01021,Rancho Viejo,22.123333,-102.511111,2127,Aguascalientes,San José de Gracia,190,Presa Calles,12,Lerma Santiago,190.0,12.0,Aguascalientes
97,C01108,Arroyo Hondo  (Cycna),22.1825,-102.207778,1999,Aguascalientes,Tepezalá,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
98,C01094,El Chayote,22.286111,-102.235833,1951,Aguascalientes,Tepezalá,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
99,C01013,Mesillas,22.313333,-102.165833,2021,Aguascalientes,Tepezalá,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
100,C01008,Puerto de La Concepción,22.202778,-102.135,2323,Aguascalientes,Tepezalá,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
101,PTOAG,"Puerto de la Concepción, Ags.",22.202778,-102.135,2322,Aguascalientes,Tepezalá,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
102,C01026,Tepezala,22.223611,-102.168889,2110,Aguascalientes,Tepezalá,189,Río San Pedro,12,Lerma Santiago,189.0,12.0,Aguascalientes
103,C02001,Agua Caliente,32.1075,-116.454167,400,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
104,C02151,Agua de Chale,30.638056,-114.75,5,Baja California,Ensenada,53,San Fermín,4,B.C.Noreste,53.0,4.0,Baja California
105,C02002,Bahía de Los Ángeles,28.603889,-113.556111,4,Baja California,Ensenada,60,San Pedro,5,B.C. Centro Este,60.0,5.0,Baja California
106,BLMBN,"Belén, B.C.",32.195278,-116.485556,555,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
107,C02005,Boquilla Santa Rosa de La Misión,32.021667,-116.776944,250,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
108,C02162,Camalajue,29.683333,-114.166667,20,Baja California,Ensenada,57,Calamajue,5,B.C. Centro Este,57.0,5.0,Baja California
109,C02006,Chapala,29.488056,-114.363889,660,Baja California,Ensenada,56,La Palma,5,B.C. Centro Este,56.0,5.0,Baja California
110,C02008,Colonia Guerrero,30.716667,-115.983333,30,Baja California,Ensenada,12,Santo Domingo,1,B.C.Noroeste,12.0,1.0,Baja California
111,C02071,Colonia Valle de La Trinidad,31.355833,-115.696389,740,Baja California,Ensenada,9,Los Cochis-El Salado,1,B.C.Noroeste,9.0,1.0,Baja California
112,C02010,Compostela,31.783333,-115.766667,625,Baja California,Ensenada,8,San Vicente,1,B.C.Noroeste,8.0,1.0,Baja California
113,C02089,Ejido Emilio Lopez Zamora,31.104167,-116.168333,180,Baja California,Ensenada,10,San Rafael,1,B.C.Noroeste,10.0,1.0,Baja California
114,C02090,Ejido Eréndira,31.274444,-116.392222,20,Baja California,Ensenada,-,-,-,-,,,Baja California
115,C02088,Ejido Héroes de La Independencia,31.610278,-115.9375,1000,Baja California,Ensenada,8,San Vicente,1,B.C.Noroeste,8.0,1.0,Baja California
116,C02091,Ejido Ignacio  Lopez Rayón,31.287778,-116.264444,170,Baja California,Ensenada,8,San Vicente,1,B.C.Noroeste,8.0,1.0,Baja California
117,C02160,Ejido Jamaú,31.502778,-115.725,980,Baja California,Ensenada,9,Los Cochis-El Salado,1,B.C.Noroeste,9.0,1.0,Baja California
118,C02012,Ejido José María Morelos,28.3,-114.025833,20,Baja California,Ensenada,27,Paraíso,2,B.C. Centro Oeste,27.0,2.0,Baja California
119,C02100,Ejido Leandro Valle,31.266667,-115.766667,100,Baja California,Ensenada,9,Los Cochis-El Salado,1,B.C.Noroeste,9.0,1.0,Baja California
120,C02120,Ejido México,31.072222,-116.206111,75,Baja California,Ensenada,10,San Rafael,1,B.C.Noroeste,10.0,1.0,Baja California
121,C02111,Ejido Nuevo Baja California,30.517222,-115.931389,17,Baja California,Ensenada,13,San Quintín,1,B.C.Noroeste,13.0,1.0,Baja California
122,C02013,Ejido Plan Nacional Agrario,30.67,-115.131111,420,Baja California,Ensenada,52,Huatamote,4,B.C.Noreste,52.0,4.0,Baja California
123,C02131,Ejido Rubén Jaramillo,30.923611,-116.1275,60,Baja California,Ensenada,11,San Telmo,1,B.C.Noroeste,11.0,1.0,Baja California
124,C02092,Ejido San Matías,31.331389,-115.543611,968,Baja California,Ensenada,50,Cerrada Santa Clara,4,B.C.Noreste,50.0,4.0,Baja California
125,C02153,Ejido Uruapan,31.618611,-116.455,195,Baja California,Ensenada,6,Maneadero-Las Ánimas,1,B.C.Noroeste,6.0,1.0,Baja California
126,C02132,Ejido Zarahemila,30.690278,-116.006389,8,Baja California,Ensenada,12,Santo Domingo,1,B.C.Noroeste,12.0,1.0,Baja California
127,C02079,El Alamar,31.835556,-116.203889,710,Baja California,Ensenada,5,San Carlos,1,B.C.Noroeste,5.0,1.0,Baja California
128,C02014,El Alamo,31.593333,-116.054444,1115,Baja California,Ensenada,7,Santo Tomás,1,B.C.Noroeste,7.0,1.0,Baja California
129,C02015,El Arco,28.028611,-113.396389,288,Baja California,Ensenada,29,El Arco,2,B.C. Centro Oeste,29.0,2.0,Baja California
130,C02016,El Barril,28.3025,-112.878333,50,Baja California,Ensenada,62,El Infiernito,5,B.C. Centro Este,62.0,5.0,Baja California
131,C02104,El Ciprés,31.790278,-116.588056,8,Baja California,Ensenada,5,San Carlos,1,B.C.Noroeste,5.0,1.0,Baja California
132,C02094,El Farito,31.983333,-116.666667,250,Baja California,Ensenada,4,Ensenada-El Gallo,1,B.C.Noroeste,4.0,1.0,Baja California
133,C02021,El Pinal,32.183333,-116.291667,1320,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
134,C02084,El Progreso,29.9675,-115.190833,517,Baja California,Ensenada,17,Santa Catarina,2,B.C. Centro Oeste,17.0,2.0,Baja California
135,C02022,El Rosario,30.059444,-115.723333,40,Baja California,Ensenada,16,El Rosario,1,B.C.Noroeste,16.0,1.0,Baja California
136,C02023,El Socorro,30.320556,-115.820556,26,Baja California,Ensenada,15,El Socorro,1,B.C.Noroeste,15.0,1.0,Baja California
137,ELZBN,"Emilio López Zamora, B.C.",31.890278,-116.6025,70,Baja California,Ensenada,4,Ensenada-El Gallo,1,B.C.Noroeste,4.0,1.0,Baja California
138,C02025,Ensenada,31.857778,-116.605833,21,Baja California,Ensenada,4,Ensenada-El Gallo,1,B.C.Noroeste,4.0,1.0,Baja California
139,C02144,Ensenada Blanca,28.410556,-113.863889,10,Baja California,Ensenada,27,Paraíso,2,B.C. Centro Oeste,27.0,2.0,Baja California
140,C02110,Guayaquil,29.967222,-115.096944,530,Baja California,Ensenada,17,Santa Catarina,2,B.C. Centro Oeste,17.0,2.0,Baja California
141,C02004,Ignacio Zaragoza -Belén-,32.195278,-116.485556,540,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
142,C02027,Isla Cedros,28.135,-115.175,3,Baja California,Ensenada,-,-,-,-,,,Baja California
143,C02026,Isla Guadalupe,29.02,-118.278056,580,Baja California,Ensenada,-,-,-,-,,,Baja California
144,C02095,La Bocana de Santo Tomás,29.866667,-115.0,167,Baja California,Ensenada,17,Santa Catarina,2,B.C. Centro Oeste,17.0,2.0,Baja California
145,C02096,La Calentura,31.270278,-116.036944,210,Baja California,Ensenada,9,Los Cochis-El Salado,1,B.C.Noroeste,9.0,1.0,Baja California
146,C02077,La Misión,32.101944,-116.811111,20,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
147,LAMBN,"La Misión, B.C.",32.101944,-116.811111,20,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
148,C02029,La Providencia,30.968611,-116.156667,40,Baja California,Ensenada,11,San Telmo,1,B.C.Noroeste,11.0,1.0,Baja California
149,C02066,Laguna Hanson A. Sierra de Juárez,32.003611,-115.948333,1580,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
150,C02032,Las Escobas,30.579444,-115.937778,30,Baja California,Ensenada,13,San Quintín,1,B.C.Noroeste,13.0,1.0,Baja California
151,C02076,Las Palomas,28.218333,-113.084444,480,Baja California,Ensenada,30,Vizcaíno,2,B.C. Centro Oeste,30.0,2.0,Baja California
152,C02106,Maneadero,31.695556,-116.572778,50,Baja California,Ensenada,6,Maneadero-Las Ánimas,1,B.C.Noroeste,6.0,1.0,Baja California
153,C02165,Mesa de San Jacinto,30.884444,-116.123611,53,Baja California,Ensenada,11,San Telmo,1,B.C.Noroeste,11.0,1.0,Baja California
154,C02041,Nuevo Rosarito,28.634444,-114.017222,20,Baja California,Ensenada,25,Rosarito,2,B.C. Centro Oeste,25.0,2.0,Baja California
155,ENSBN,"Observatorio de Ensenada, B.C.",31.49,-116.37,3,Baja California,Ensenada,7,Santo Tomás,1,B.C.Noroeste,7.0,1.0,Baja California
156,C02035,Ojos Negros,31.911667,-116.264722,680,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
157,C02036,Olivares Mexicanos,32.049167,-116.680833,340,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
158,C02149,Puertecitos,30.367222,-114.808333,20,Baja California,Ensenada,54,Agua Dulce,4,B.C.Noreste,54.0,4.0,Baja California
159,C02108,Punta Banda,31.713889,-116.666111,15,Baja California,Ensenada,6,Maneadero-Las Ánimas,1,B.C.Noroeste,6.0,1.0,Baja California
160,C02150,Punta Final,29.7375,-114.31,3,Baja California,Ensenada,56,La Palma,5,B.C. Centro Este,56.0,5.0,Baja California
161,C02039,Punta Prieta,29.158333,-114.145833,325,Baja California,Ensenada,23,San Andrés,2,B.C. Centro Oeste,23.0,2.0,Baja California
162,C02040,Rancho Alegre,28.228611,-113.755278,120,Baja California,Ensenada,27,Paraíso,2,B.C. Centro Oeste,27.0,2.0,Baja California
163,C02099,Rancho Los Algodones,30.781389,-115.175,460,Baja California,Ensenada,52,Huatamote,4,B.C.Noreste,52.0,4.0,Baja California
164,C02167,Rancho Meling,30.973056,-115.745278,645,Baja California,Ensenada,11,San Telmo,1,B.C.Noroeste,11.0,1.0,Baja California
165,C02122,Real del Castillo Viejo,31.951389,-116.745833,610,Baja California,Ensenada,4,Ensenada-El Gallo,1,B.C.Noroeste,4.0,1.0,Baja California
166,C02043,San Agustín,29.9375,-114.966944,552,Baja California,Ensenada,17,Santa Catarina,2,B.C. Centro Oeste,17.0,2.0,Baja California
167,C02044,San Borja,28.735278,-113.7525,445,Baja California,Ensenada,25,Rosarito,2,B.C. Centro Oeste,25.0,2.0,Baja California
168,C02045,San Carlos,31.785278,-116.463611,164,Baja California,Ensenada,5,San Carlos,1,B.C.Noroeste,5.0,1.0,Baja California
169,C02047,San Fernando,29.983333,-115.233333,10,Baja California,Ensenada,17,Santa Catarina,2,B.C. Centro Oeste,17.0,2.0,Baja California
170,C02048,San José,31.066667,-115.583333,40,Baja California,Ensenada,10,San Rafael,1,B.C.Noroeste,10.0,1.0,Baja California
171,C02049,San Juan de Dios Norte,32.1325,-116.165,1280,Baja California,Ensenada,3,Guadalupe,1,B.C.Noroeste,3.0,1.0,Baja California
172,C02050,San Juan de Dios Sur,30.184444,-115.1375,600,Baja California,Ensenada,16,El Rosario,1,B.C.Noroeste,16.0,1.0,Baja California
173,C02051,San Luis Baja California,29.727222,-114.710833,480,Baja California,Ensenada,18,La Bocana,2,B.C. Centro Oeste,18.0,2.0,Baja California
174,C02052,San Luis Gonzaga,30.083333,-114.616667,1,Baja California,Ensenada,54,Agua Dulce,4,B.C.Noreste,54.0,4.0,Baja California
